bestandsnaam;titel;dossier;datum;entiteiten;relaties;wijk_of_kern
0. Brief gezamenlijke toezending GR-en.pdf;Toelichting gezamenlijke aanbieding concept gemeenschappelijke regelingen;Wijziging gemeenschappelijke regelingen;;Regio IJsselland, Provincie Overijssel, GGD IJsselland, Omgevingsdienst IJsselland, Regionaal Serviceteam Jeugd IJsselland, Veiligheidsregio IJsselland, Henk Schreuders;Brief van 4 oktober 2023;
0. Gezamenlijke aanbiedingsbrief.pdf;Gezamenlijke aanbieding concept gemeenschappelijke regelingen;Wijziging Gemeenschappelijke Regelingen (GR);;GGD IJsselland, Omgevingsdienst IJsselland, Regionaal Serviceteam Jeugd IJsselland, Veiligheidsregio IJsselland, Gemeenten in de regio IJsselland, Provincie Overijssel, Gemeente Kampen, Gedeputeerde Staten, Provinciale Staten, Henk Schreuders;Voorstellen tot wijziging gemeenschappelijke regelingen (oktober 2023), Zienswijze gemeente Kampen, Zienswijze Provinciale Staten, Aanbiedingsbrief van de omgevingsdienst aan het college van Gedeputeerde Staten, Wet elektronische publicaties (Wep), Wet gemeenschappelijke regelingen (Wgr);
0.0 Lijst Ingekomen Stukken.pdf;Ingekomen stukken voor de gemeenteraadsvergadering van 10 februari 2026;Ingekomen stukken;2026-02-10;VNG, Steenwijk, Vendelweg, college van burgemeester en wethouders, West-Overijssel, Fletcher Hotel, gemeente Steenwijkerland, CU, BGL, Belt-Schultsloot, Dorpsgracht, VE, Natuurmonumenten, A. ten Hoff, H.K. de Groot;Onderhandelaarsresultaat CAO Aan de slag 2026-2027, Informatienota 2026 – 2 - Decembercirculaire 2025 gemeentefonds, Informatienota 2026 – 3 - Regionale Samenwerkingsagenda Energie West-Overijssel, Informatienota 2026 – 4 - Aanvullende analyse Ethos telling, Rapport over het toezicht op het beheer van de niet-overgebrachte archieven 2025, Bewonersbrief betreft mogelijke opvang na-reizigers in Fletcher Hotel, Pachtbeleid gemeente Steenwijkerland, Schriftelijke vragen CU – Verlaging giftengrens 2026, Schriftelijke vragen BGL- Beschoeiing Dorpsgracht Belt-Schultsloot, Schriftelijke vragen VE – Onbeperkt Samenleven, Schriftelijke vragen BGL- Betaald parkeren bezoekerscentrum Natuurmonumenten;
0.1 Zienswijze Evaluatie GR ODIJ.pdf;Motie Zienswijze op de ontwerp gemeenschappelijke regeling ODIJ - Evaluatie;Zienswijze GR;2024-01-31;Provinciale Staten van Overijssel, Omgevingsdienst IJsselland (ODIJ), Peter Hermans, PvdA, Rick Brink, CDA, Joyce Vorgers, GroenLinks, Sybren Stelpstra, CU;Artikel 59 RvO voor Provinciale Staten van Overijssel 2023, Wet gemeenschappelijke regelingen (Wgr), Ontwerp van de gewijzigde GR ODIJ;
0.2 Zienswijze Indienen zienswijzen GR ODIJ.pdf;Motie Indienen zienswijze op de ontwerp gemeenschappelijke regeling ODIJ;Zienswijze GR;2024-01-31;Provinciale Staten van Overijssel, Omgevingsdienst IJsselland (ODIJ), Algemeen bestuur van de GR ODIJ, Peter Hermans (PvdA), Jan Jonker (SGP), Rick Brink (CDA), Joyce Vorgers (GroenLinks), Sybren Stelpstra (CU);Artikel 59 RvO voor Provinciale Staten van Overijssel 2023, Wet gemeenschappelijke regelingen (Wgr), ontwerp gemeenschappelijke regeling Omgevingsdienst IJsselland (ontwerp GR ODIJ);
0.3 Zienswijze gemeente Kampen.pdf;Reactie gemeente Kampen op voorgesteld concept gemeenschappelijke regelingen;Zienswijze GR;2023-12-19;Gemeente Kampen, College van burgemeester en wethouders Kampen, Gemeenteraad Kampen, Veiligheidsregio IJsselland, dhr. Schreuders, VRIJ, GGD, OD, RSJ, S. de Rouwe, Zwolle;Brief d.d. 16 oktober 2023 (voorgestelde wijzigingen van de gemeenschappelijke regelingen VRIJ, GGD, OD en RSJ), Unaniem aangenomen motie gemeenteraad d.d. 14 december 2023 (inzake wijziging evaluatie in gemeenschappelijke regeling);
011 College komt met aangescherpt Masterplan voor nieuw museum.pdf;Aangescherpt Masterplan voor nieuw museum Steenwijkerland;Nieuw museum;2023-02-21;College van B&W, Steenwijk, Steenwijkerland, Wethouder Trijn Jongman, Spijkervetstallen, Museumwerkgroep, Toeristisch Inspiratie Punt, Galerie Steenwijk, Gemeenteraad, Stadsmuseum Steenwijk, Kermis- en Circusmuseum, Hildo Krop Museum, Historische Vereniging Steenwijk e.o., Hildo Krop, Markt, Gasthuisstraat, Onnastraat, Kalverstraat, Dagmar Burgers;Masterplan ‘Op weg naar een nieuw museum in Steenwijkerland’;
03-04-2024 Rapportage geur Overhavendijk Kuinre.pdf;Onderzoek achtergrondbelasting en cumulatieve geurhinder Woningbouwlocatie Overhavendijk Oostzijde te Kuinre;Woningbouw;2024-04-03;Rensen Milieu Advies V.O.F., Fons Rensen, Overhavendijk Oostzijde te Kuinre, N351 Slijkenburgerdijk, Kuinderdiep, Gemeente Steenwijkerland;Wet geurhinder en veehouderij (Wgv), Handreiking Wet geurhinder en veehouderij;
060 Steenwijkerlandse bijdrage aan asiel- en Oekraineopvang_.pdf;Steenwijkerlandse bijdrage aan asiel- en Oekraïneopvang;Asiel- en Oekraïneopvang;2024-08-29;Gemeente Steenwijkerland, College van B&W, Gemeenteraad, Fletcher Hotel Restaurant Steenwijk, Melvin Smit, Commissaris van de Koning, Dagmar Burgers;Spreidingswet, Kader/richting gemeenteraad mei 2023;
1 Goed werkgeverschap na dienstongevallen - brief aan gemeenteraden.pdf;Goed werkgeverschap bij dienstongevallen;Zienswijze GR;2021-12-21;Veiligheidsberaad, Stichting Risicobeheer Veiligheidsregio’s, Stichting Waarborgfonds Veiligheidsregio’s, Raad van Commandanten en Directeuren Veiligheidsregio (RCDV), Veiligheidsregio IJsselland, Autoriteit Financiële Markten (AFM), De Nederlandse Bank (DNB), VNG, VNG Risicobeheer, Verzekeringsbedrijf Groot Amsterdam, R.C. König, A.H. Schreuders;Brief van het Veiligheidsberaad (bijlage 1), Hand-out hoofdpunten (bijlage 2), Ontwerpbesluit (bijlage 3), Wet gemeenschappelijke regelingen, Gemeenschappelijke regeling Veiligheidsregio IJsselland;
1. Aanbiedingsbrief gemeenteraden Veiligheidsregio IJsselland.pdf;Aanbieding Strategische Beleidsagenda 2023 t/m 2026 inclusief bijlagen;Strategische Beleidsagenda Veiligheidsregio IJsselland;2022-10-03;Veiligheidsregio IJsselland, Zwolle, Veiligheidsberaad, Henk Schreuders, P.H. Snijders, A.H. Schreuders, Dagelijks bestuur Veiligheidsregio IJsselland, Algemeen bestuur Veiligheidsregio IJsselland;Wet veiligheidsregio's (Wvr), Infographic 'Samen veiligheid versterken', Crisisplan 2020-2023, Dekkingsplan (voorlopig vastgesteld 8 december 2021), Landelijke handreiking Veiligheidsberaad, Huidige regionaal risicoprofiel, Begroting 2023 Veiligheidsregio IJsselland, Begroting 2024 Veiligheidsregio IJsselland;
