ID;DocumentID;Versie;MeetingID;Datum;Titel;MeetingTitel;Gremium;DocumentType;Bestandstype;Scope;FilterMethode;Reden;Status;Bestandsnaam;LokaalPad;NotuBizURL;GrootteBytes;GesynchroniseerdOp
"ov-13641808";"13641808";"3";"1189839";"2024-01-10";"Memo van Afgevaardigden werkgroep RSAB RES West-Overijssel en initiatiefgroep RES Twente";"Extra commissie Milieu en Energie";"Provinciale Staten";"Agendastuk";"pdf";"Provinciebreed";"AI Fallback (Veiligheidsbehoud)";"API rate-limit of storing; veiligheidshalve behouden voor provinciaal overzicht";"Opgeslagen";"2024-01-10_13641808_Memo_van_Afgevaardigden_werkgroep_RSAB_RES_West-Overijssel_en_initiatiefgroep_RES_Twente.pdf";"/uploads/documents/overijssel/2024-01-10_13641808_Memo_van_Afgevaardigden_werkgroep_RSAB_RES_West-Overijssel_en_initiatiefgroep_RES_Twente.pdf";"https://api.notubiz.nl/document/13641808/3";"45872";"2026-09-10T14:20:41.951Z"
"ov-13658106";"13658106";"5";"1189839";"2024-01-10";"Behandelvoorstel bij brieven consultatie PS over nieuwe regelingen zon en wind";"Extra commissie Milieu en Energie";"Provinciale Staten";"Agendastuk";"pdf";"Provinciebreed";"AI Fallback (Veiligheidsbehoud)";"API rate-limit of storing; veiligheidshalve behouden voor provinciaal overzicht";"Opgeslagen";"2024-01-10_13658106_Behandelvoorstel_bij_brieven_consultatie_PS_over_nieuwe_regelingen_zon_en_wind.pdf";"/uploads/documents/overijssel/2024-01-10_13658106_Behandelvoorstel_bij_brieven_consultatie_PS_over_nieuwe_regelingen_zon_en_wind.pdf";"https://api.notubiz.nl/document/13658106/5";"65112";"2026-09-10T14:20:42.620Z"
"ov-13791978";"13791978";"2";"1134689";"2024-01-31";"Printversie agenda";"Provinciale Staten";"Provinciale Staten";"Agendastuk";"pdf";"Lokaal - Steenwijkerland";"Witte lijst (Documenttekst)";"Tekstuele match: Steenwijkerland term 'nederland' gevonden in documentintro";"Opgeslagen";"2024-01-31_13791978_Printversie_agenda.pdf";"/uploads/documents/overijssel/2024-01-31_13791978_Printversie_agenda.pdf";"https://api.notubiz.nl/document/13791978/2";"88822";"2026-09-10T14:20:43.660Z"
"ov-9727142";"9727142";"1";"757251";"2021-01-27";"Provinciale Staten 27-01-2021";"Provinciale Staten";"Provinciale Staten";"Agendastuk";"pdf";"Lokaal - Steenwijkerland";"Witte lijst (Documenttekst)";"Tekstuele match: Steenwijkerland term 'tuk' gevonden in documentintro";"Opgeslagen";"2021-01-27_9727142_Provinciale_Staten_27-01-2021.pdf";"/uploads/documents/overijssel/2021-01-27_9727142_Provinciale_Staten_27-01-2021.pdf";"https://api.notubiz.nl/document/9727142/1";"88083";"2026-09-10T14:36:37.393Z"
"ov-9755658";"9755658";"1";"757251";"2021-01-27";"Besluitenlijst 27 januari 2021 ";"Provinciale Staten";"Provinciale Staten";"Agendastuk";"pdf";"Lokaal - Steenwijkerland";"Witte lijst (Documenttekst)";"Tekstuele match: Steenwijkerland term 'tuk' gevonden in documentintro";"Opgeslagen";"2021-01-27_9755658_Besluitenlijst_27_januari_2021_.pdf";"/uploads/documents/overijssel/2021-01-27_9755658_Besluitenlijst_27_januari_2021_.pdf";"https://api.notubiz.nl/document/9755658/1";"96898";"2026-09-10T14:36:37.887Z"
"ov-9679281";"9679281";"1";"757251";"2021-01-27";"aangemelde mondelinge vragen PS 27 januari";"Provinciale Staten";"Provinciale Staten";"Agendastuk";"pdf";"Provinciebreed";"AI Fallback (Veiligheidsbehoud)";"API rate-limit of storing; veiligheidshalve behouden voor provinciaal overzicht";"Opgeslagen";"2021-01-27_9679281_aangemelde_mondelinge_vragen_PS_27_januari.pdf";"/uploads/documents/overijssel/2021-01-27_9679281_aangemelde_mondelinge_vragen_PS_27_januari.pdf";"https://api.notubiz.nl/document/9679281/1";"160022";"2026-09-10T14:36:38.694Z"
"ov-9657250";"9657250";"1";"757251";"2021-01-27";"TMS 21 01 2021 - opgave GS";"Provinciale Staten";"Provinciale Staten";"Agendastuk";"pdf";"Lokaal - Steenwijkerland";"Witte lijst (Documenttekst)";"Tekstuele match: Steenwijkerland term 'tuk' gevonden in documentintro";"Opgeslagen";"2021-01-27_9657250_TMS_21_01_2021_-_opgave_GS.pdf";"/uploads/documents/overijssel/2021-01-27_9657250_TMS_21_01_2021_-_opgave_GS.pdf";"https://api.notubiz.nl/document/9657250/1";"482727";"2026-09-10T14:36:39.211Z"
"ov-9601218";"9601218";"1";"757251";"2021-01-27";"Initiatiefvoorstel Recht op burgeramendement";"Provinciale Staten";"Provinciale Staten";"Agendastuk";"pdf";"Lokaal - Steenwijkerland";"Witte lijst (Documenttekst)";"Tekstuele match: Steenwijkerland term 'tuk' gevonden in documentintro";"Opgeslagen";"2021-01-27_9601218_Initiatiefvoorstel_Recht_op_burgeramendement.pdf";"/uploads/documents/overijssel/2021-01-27_9601218_Initiatiefvoorstel_Recht_op_burgeramendement.pdf";"https://api.notubiz.nl/document/9601218/1";"272501";"2026-09-10T14:36:39.484Z"
"ov-9601253";"9601253";"1";"757251";"2021-01-27";"Statenvoorstel Presidium bij rapport Rekenkamer Inspannen voor draagvlak";"Provinciale Staten";"Provinciale Staten";"Agendastuk";"pdf";"Provinciebreed";"AI Fallback (Veiligheidsbehoud)";"API rate-limit of storing; veiligheidshalve behouden voor provinciaal overzicht";"Opgeslagen";"2021-01-27_9601253_Statenvoorstel_Presidium_bij_rapport_Rekenkamer_Inspannen_voor_draagvlak.pdf";"/uploads/documents/overijssel/2021-01-27_9601253_Statenvoorstel_Presidium_bij_rapport_Rekenkamer_Inspannen_voor_draagvlak.pdf";"https://api.notubiz.nl/document/9601253/1";"142335";"2026-09-10T14:36:39.967Z"
"ov-9653293";"9653293";"2";"757251";"2021-01-27";"Statenvoorstel afwijzing Wob-verzoek";"Provinciale Staten";"Provinciale Staten";"Agendastuk";"pdf";"Provinciebreed";"AI Fallback (Veiligheidsbehoud)";"API rate-limit of storing; veiligheidshalve behouden voor provinciaal overzicht";"Opgeslagen";"2021-01-27_9653293_Statenvoorstel_afwijzing_Wob-verzoek.pdf";"/uploads/documents/overijssel/2021-01-27_9653293_Statenvoorstel_afwijzing_Wob-verzoek.pdf";"https://api.notubiz.nl/document/9653293/2";"75981";"2026-09-10T14:36:40.362Z"
