4. Crisisplan 2023-2026.PDF;Crisisplan 2023-2026 Veiligheidsregio IJsselland;Crisisbeheersing en Veiligheid;;Veiligheidsregio IJsselland, Brandweer, GHOR, Politie, Bevolkingszorg;Politiewet (2012), Wet veiligheidsregio’s (2010), Besluit veiligheidsregio’s (2010), Besluit personeel veiligheidsregio’s (2010), Wet publieke gezondheid (2008), Gemeentewet (1992);
Adviesrapport Rabo Theater De Meente - dd. 30-05-2022.pdf;Adviesrapport ontwikkeling Meeting Center Rabo Theater De Meenthe;Commerciële exploitatie en zaalverhuur;2022-05-30;Rabo Theater De Meenthe, Onemeeting Services B.V., The Onemeeting Company B.V., Onemeeting.com, Han Evers, Maarten Geurtse, Saviëlle Roemeling, Ingrid van der Wal-Koek, Fletcher Hotel Restaurant Steenwijk, Fletcher Hotel Restaurant De Eese-Giethoorn, Van der Valk Wolvega;Beleidsnota april 2019 van Rabo Theater De Meenthe;
Begroting in een oogopslag 2025.pdf;Programmabegroting 2025 in één oogopslag Veiligheidsregio IJsselland;Begroting Veiligheidsregio IJsselland;;Veiligheidsregio IJsselland, Meldkamer Oost-Nederland, Het Rijk;;
Beheersverordening Buitengebied Steenwijkerland 2014.pdf;Beheersverordening Buitengebied Steenwijkerland 2014;Beheersverordening / Agrarisch beleid;;Buitengebied Steenwijkerland, Agrarische bedrijven, Veehouderijbedrijven;Voorheen geldende bestemmingsplannen;
Beleidsnotitie Participatie onder de Omgevingswet.pdf;Beleidsnotitie Participatie onder de Omgevingswet;Omgevingswet;;Gemeenteraad, College, Initiatiefnemers;Visie op (inwoners) participatie, Participatieverordening;
Beleidsplan Beheer en Onderhoud Wegen Paden (beleidsplan).pdf;Beleidsplan Beheer en Onderhoud Wegen & Paden;Infrastructuur en Wegen;;CROW;Grondwet, Burgerlijk Wetboek, Wegenwet, Omgevingswet, Actieplan veilige bermen;
Beleidsplan Schuldhulpverlening 2026-2029.pdf;Beleidsplan Schuldhulpverlening 2026-2029;Schuldhulpverlening;Onbekend;Sociaal Werk De Kop, Regionaal Bureau Zelfstandigen (RBZ), Kredietbank Nederland (KBNL), Vluchtelingenwerk, Rechtbank;Wet gemeentelijke schuldhulpverlening (Wgs), Faillissementswet, Gedragscode Schuldhulpverlening, Actieplan Schuldhulpverlening 2021 -2024, Wet Inburgering 2021, Nationaal Plan Armoede en Schulden (NPAS), Basisdienstverlening Schuldhulpverlening;Vollenhove
Beleidsplan_Onderhoud_Vastgoed 11-11-25.pdf;Beleidsplan onderhoud maatschappelijk vastgoed;Onderhoud maatschappelijk vastgoed;2025-11-11;Schoolbestuur, Planon;Meerjarenonderhoudsplan (MJOP), NEN 2767;
Beleidsvisie Openbare Verlichting (beleidsvisie).pdf;Beleidsvisie openbare verlichting Gemeente Steenwijkerland;Openbare Verlichting;;Provincie Overijssel, Bureau Licht en Donker Advies, Gemeente Steenwijkerland;;
Beleidsvisie Openbare Verlichting (publieksversie).pdf;Beleidsvisie Openbare Verlichting;Openbare Verlichting;;Provincie Overijssel, 17 andere Overijsselse gemeenten, Nederlandse Praktijkrichtlijn (NPR), Nederlandse Stichting voor Verlichtingskunde (NSVV), Netbeheerders, Noordoostpolder, De Weerribben en De Wieden, Woldberg;Beleidsvisie 'Zo verlichten wij in Overijssel', Vorig beleidsplan, Bijlage B: Participatie;
Berekening lasten museum en bibliotheek juli 2024.pdf;Financiële berekening lasten museum en bibliotheek;Financiën / Vastgoed;2024-07-01;Bibliotheek aan de Markt, Museum Spijkervetstallen, DUMAVA;;Steenwijk Centrum / Binnenstad
Beschikking - Omgevingsvergunning - Gagelsweg 25, Steenwijk - 20240423 (geanonimiseerd).pdf;Omgevingsvergunning voor het plaatsen van drie zonnecarports aan de Gagelsweg 25;Omgevingsvergunning;2024-04-23;Rechtbank Overijssel, Gemeente Steenwijkerland, Netwerk Groene Bureaus, Gagelsweg 25, 8331 CM Steenwijk;Bestemmingsplan Steenwijk & Tuk, Tijdelijk deel omgevingsplan Steenwijkerland, Aanvraag omgevingsvergunning d.d. 6 maart 2024 (Z2024-00001937);De Gagels, Tuk
Beschikking Afdeling bestuursrechtspraak Raad van State inzake termijnverlenging Tuk -Tukseweg 136.pdf;Beschikking Raad van State inzake termijnverlenging Tukseweg 136 te Tuk;Bestemmingsplan;2022-06-15;Raad van State, Afdeling bestuursrechtspraak, gemeente Steenwijkerland, P.C. ter Haar, PTH Trading, mr. drs. B.P.M. van Ravels, mr. R.I.Y. Lap, Tukseweg 136;tussenuitspraak van 30 maart 2022, in zaak nr. 202104917/1/R3, bestemmingsplan Bedrijventerreinen;Tuk
Bestemmingsplan Lakeweg 7 en 8, IJsselhamReactienota zienswijze.pdf;Reactienota zienswijzen ontwerpbestemmingsplan Lakeweg 7 & 8 IJsselham;Bestemmingsplan;2023-01-12;Waterschap Drents Overijsselse Delta, Sander Wennemers, Furkan Adigüzel, Team Samenleving en Ontwikkeling, Zwolle;ontwerpbestemmingsplan Lakeweg 7 & 8 IJsselham, uitgangspuntennotitie;Ijsselham
Bestemmingsplan Lakeweg 7 en 8_ontwerp_1_Bijlagen_compressed.pdf;Rapportage Kwaliteitsimpuls Groene Omgeving Lakeweg 7;Bestemmingsplan;2022-04-07;Fons Rensen, R.S. Bos, J. Fleer, Provincie Overijssel;;Ijsselham
Bestemmingsplan Lakeweg 7 en 8_ontwerp_1_Regels.pdf;Regels ontwerp bestemmingsplan Lakeweg 7 en 8;Bestemmingsplan;;Lakeweg 7 en 8, Gemeente Steenwijkerland, College van burgemeester en wethouders;NL.IMRO.1708.ISHLakeweg7en8BP-ON01, Erfgoedwet;
